Addictive Behavior,Excluded: Patients whose use of alcohol or drugs is sufficient to impair compliance with protocol requirements.
Addictive Behavior,Current substance or alcohol use disorder as determined by the SCID or by positive drug toxicology results
Addictive Behavior,Subjects who consume >14 alcoholic drinks per week.
Addictive Behavior,Excessive consumption of xanthine-based beverages
Addictive Behavior,History of drug abuse or use of illegal drugs: use of soft drugs (marijuana  pot) within 3 months of the screening visit or hard drugs (cocaine  PCP  crack)within 1 year of the screening visit
Addictive Behavior,Non-smokers.
Addictive Behavior,Smokers may participate  but they are limited to 10 cigarettes per day while at the clinic and must follow clinic smoking rules
Addictive Behavior,Regular use of alcohol within six months prior to the screening visit (more than fourteen units of alcohol per week [ 1 Unit = 150mL of wine  360 mL of beer  or 45mL of 40% alcohol])
Addictive Behavior,Use of soft drugs ( such as marijuana) within 3 months prior to the screening visit or hard drugs (such as cocaine  phencyclidine [PCP] and crack) within 1 year prior to the screening visit or positive urine drug at screening.
Addictive Behavior,Subject has been a nonsmoker and/or has not used nicotine or nicotine-containing products for at least approximately 6 months
Addictive Behavior,subjects who have discontinued smoking or the use of nicotine/nicotine containing products for at least approximately 3 months may be enrolled in the study at the discretion of the investigator
Addictive Behavior,Current use of tobacco products including cigarettes  cigars  pipes  or chewing tobacco  current participation in a smoking cessation program  or discontinuation of smoking within 3 months prior to screening
Addictive Behavior,Exclusion Criteria: Consumption greater than 14 alcoholic drinks per week
Addictive Behavior,alcoholism  drug addiction  acute withdrawal from chemical dependency  psychiatric disease)
Addictive Behavior,Be current smokers of cigarettes (past 7 days)
Addictive Behavior,History of significant alcohol abuse within six months of the screening visit or any indication of the regular use of more than fourteen units of alcohol per week
Addictive Behavior,History of significant alcohol abuse within six months of the screening visit or any indication of the regular use of more than two units of alcohol per day
Addictive Behavior,Inebriated
Addictive Behavior,or abstinence
Addictive Behavior,Patients who are currently cigarette smokers.
Addictive Behavior,Smokes at least 20 cigarettes per day (1 pack per day)
Addictive Behavior,Smoking
Addictive Behavior,Smoking  alcohol intake (more than 2 drinks/week)
Addictive Behavior,Use other forms of tobacco like cigars or chewing tobacco or are using anything else to help them quit smoking
Addictive Behavior,Subjects who are  appear to be  or are known  current or former drug addicts or alcoholics.
Addictive Behavior,History of drug abuse during prior twelve months
Addictive Behavior,History of smoking  alcoholism  and use of illicit drugs
Addictive Behavior,Patient has a history of substance abuse within the past year.
Addictive Behavior,Have been a smoker in the past 12 months
Addictive Behavior,Have smoked an average of at least 10 cigarettes/day in the preceding year  with < 3 month total abstinence period
Addictive Behavior,Subject is a nonsmoker or has not used nicotine-containing products for 6 months prior to study start
Addictive Behavior,Existing Substance abuse
Addictive Behavior,Use of any tobacco products in the 6 months proceeding drug administration.
Addictive Behavior,Abuse alcohol or drugs.
Addictive Behavior,Abuse alcohol or require drugs which  in the opinion of the investigator  may increase the risk of pancreatitis.
Addictive Behavior,Abuse drugs or alcohol.
Addictive Behavior,abusive drug or alcohol consumption.
Addictive Behavior,alcohol high consumption
Addictive Behavior,Alcohol or drug abuse
Addictive Behavior,Are known to have had a substance abuse (drug or alcohol) problem within the previous 3 years
Addictive Behavior,Self-reported level of motivation to stop smoking >=  7  on a scale of 1-to-10
Addictive Behavior,Subjects who consume > 14 alcoholic drinks per week
Addictive Behavior,Clinically significant or history of alcohol abuse/alcoholism or drug abuse/dependence within the last 6 months.
Addictive Behavior,has a history of alcohol or drug abuse within the past year
Addictive Behavior,Have had at least one HIV risk behavior (unprotected sexual activity  sharing injection drug needles without following CDC guidelines for needle-cleaning  sexual activity while under the influence of drugs or alcohol) during the three-month period prior t
Addictive Behavior,History of alcoholism or drug abuse within 12 months of the study.
Addictive Behavior,History of significant alcohol abuse or drug abuse within one year prior to the screening visit.
Addictive Behavior,Patients with excessive alcohol consumption or alcoholism that would be contraindicated with the use of acetaminophen.
Addictive Behavior,Subjects who have a history of alcohol or drug abuse within 1 year of study entry
Addictive Behavior,The presence of alcoholism or drug abuse within the past year
Addictive Behavior,history of smoking within 2 years of surgery  or
Addictive Behavior,alcohol consumption > 14 drinks per week
Addictive Behavior,Exclusion Criteria: Meets criteria for current abuse or dependence for any alcohol or illicit substance within the past month
Addictive Behavior,Chronic alcohol or illicit drug use
Addictive Behavior,Drug or alcohol abuse within 12 months of enrollment.
Addictive Behavior,had a history of alcohol or substance abuse within 12 months of enrolment
