allergic_ID,Adverse-Event,Arm-affected,Arm-at-risk,Category,Trial-Id,URL,Condition,Intervention,Serious-Other,Arm.,Arm_Title,classes_ID,Drug,Class
1107,Drug_hypersensitivity,2,328,Immune_system_disorders,NCT00001213,https://clinicaltrials.gov/show/NCT00001213,Cystinosis,Cysteamine,other_events,arm0,Cysteamine-Topical-Solution,,,
2291,Anaphylaxis,1,38,Immune_system_disorders,NCT00003298,https://clinicaltrials.gov/show/NCT00003298,Gastric_Cancer,cisplatin|fluorouracil|leucovorin_calcium|paclitaxel|surgery|radiation_therapy|,serious_events,arm0,Step-1(Neoadjuvant-Therapy),,,
2415,Allergic_reaction,3,422,Immune_system_disorders,NCT00003389,https://clinicaltrials.gov/show/NCT00003389,Lymphoma,Doxorubicin|Bleomycin|Vinblastine|Dacarbazine|Vincristine|Mechlorethamine|Etoposide|Prednisone|Cyclophosphamide|Radiotherapy|,serious_events,arm1,Arm-B-(Stanford-V),,,
2293,Anaphylaxis,1,1748,Immune_system_disorders,NCT00003782,https://clinicaltrials.gov/show/NCT00003782,Breast_Cancer,cyclophosphamide|docetaxel|doxorubicin|,serious_events,arm0,Doxorubicin-+-Cyclophosphamide-Then-Docetaxel,13,cyclophosphamide,alkylating-agent
2293,Anaphylaxis,1,1748,Immune_system_disorders,NCT00003782,https://clinicaltrials.gov/show/NCT00003782,Breast_Cancer,cyclophosphamide|docetaxel|doxorubicin|,serious_events,arm0,Doxorubicin-+-Cyclophosphamide-Then-Docetaxel,38,doxorubicin,anthracycline-antibiotic
2293,Anaphylaxis,1,1748,Immune_system_disorders,NCT00003782,https://clinicaltrials.gov/show/NCT00003782,Breast_Cancer,cyclophosphamide|docetaxel|doxorubicin|,serious_events,arm0,Doxorubicin-+-Cyclophosphamide-Then-Docetaxel,8,docetaxel,taxane
2292,Anaphylaxis,3,1748,Immune_system_disorders,NCT00003782,https://clinicaltrials.gov/show/NCT00003782,Breast_Cancer,cyclophosphamide|docetaxel|doxorubicin|,serious_events,arm1,Doxorubicin-+-Docetaxel,38,doxorubicin,anthracycline-antibiotic
2292,Anaphylaxis,3,1748,Immune_system_disorders,NCT00003782,https://clinicaltrials.gov/show/NCT00003782,Breast_Cancer,cyclophosphamide|docetaxel|doxorubicin|,serious_events,arm1,Doxorubicin-+-Docetaxel,8,docetaxel,taxane
2376,Allergy,1,90,Immune_system_disorders,NCT00003869,https://clinicaltrials.gov/show/NCT00003869,Stage_IIIA_Non-small_Cell_Lung_Cancer|Stage_IIIB_Non-small_Cell_Lung_Cancer|Stage_IV_Non-small_Cell_Lung_Cancer|,carboxyamidotriazole|placebo|quality-of-life_assessment|laboratory_biomarker_analysis|,serious_events,arm0,Carboxyamidotriazole,,,
2416,Allergic_reaction,5,61,Immune_system_disorders,NCT00003896,https://clinicaltrials.gov/show/NCT00003896,Fallopian_Tube_Cancer|Ovarian_Cancer|Peritoneal_Cavity_Cancer|,cisplatin|liposomal_doxorubicin|paclitaxel|,other_events,arm0,Paclitaxel/CDDP/Liposomal-Doxorubicin,38,doxorubicin,anthracycline-antibiotic
2416,Allergic_reaction,5,61,Immune_system_disorders,NCT00003896,https://clinicaltrials.gov/show/NCT00003896,Fallopian_Tube_Cancer|Ovarian_Cancer|Peritoneal_Cavity_Cancer|,cisplatin|liposomal_doxorubicin|paclitaxel|,other_events,arm0,Paclitaxel/CDDP/Liposomal-Doxorubicin,89,liposomal,Class_Name_Needed
